x,y
415.72001953125005,235.8800048828125
409.8662109375,239.9427490234375
402.9852294921875,239.08266601562502
405.68657226562505,232.444677734375
402.66228027343755,231.73588867187502
395.7392822265625,231.49050292968752
396.68393554687503,229.46193847656252
396.601220703125,226.61674804687502
391.64653320312505,221.3272216796875
386.94577636718753,215.81120605468752
382.61984863281253,209.99809570312502
379.00576171875,203.724853515625
382.25290527343753,203.98356933593752
387.925732421875,208.4788330078125
391.7293212890625,214.51760253906252
391.04052734375,208.66093750000002
388.1172607421875,202.0428466796875
384.1558837890625,195.9788330078125
379.57712402343753,190.363037109375
380.118115234375,188.39797363281252
384.365380859375,188.91622314453127
379.2418212890625,183.79266357421875
374.519189453125,178.29606933593752
370.162109375,172.50517578125002
366.16879882812503,166.45760498046877
362.54831542968753,160.17972412109376
359.31088867187503,153.69599609375
356.4693115234375,147.02926025390624
354.193603515625,140.1553955078125
351.94716796875,133.26541748046876
349.2976806640625,126.51993408203126
346.2539794921875,119.9430419921875
342.79257812500003,113.576416015625
338.8734130859375,107.48146972656251
334.4485107421875,101.74403076171876
329.4678955078125,96.48319702148439
323.895166015625,91.85653076171876
317.732421875,88.05415649414063
311.049755859375,85.26869506835938
303.9962646484375,83.63809814453126
296.76962890625003,83.1916259765625
289.64523925781253,83.33380126953125
283.2683837890625,79.88825073242188
284.426904296875,78.97025756835939
285.6466796875,77.48898315429688
279.8704345703125,73.11077270507813
273.9969482421875,68.86390991210938
268.0129638671875,64.77445068359376
261.8870361328125,60.90137329101563
255.55715332031252,57.373486328125004
248.884716796875,54.564178466796875
243.89750976562502,50.41138610839844
240.4022216796875,44.0632568359375
236.47207031250002,37.97511291503906
232.04643554687502,32.23836975097656
227.0080322265625,27.03516540527344
221.1958740234375,22.724700927734375
216.5644287109375,17.318565368652344
211.15751953125002,12.507543182373048
205.04937744140625,8.615853118896485
198.51612548828126,5.484762573242188
192.053564453125,2.281804084777832
184.99423828125,1.0957034051418304
178.44569091796876,3.976199531555176
173.68408203125,9.400794982910156
169.93787841796876,15.605178833007812
166.06094970703126,21.729150390625
162.022900390625,27.748034667968753
157.79310302734376,33.63347473144531
153.31071777343752,39.32838439941406
148.45584716796876,44.707315063476564
143.22667236328127,49.71955261230469
138.95687255859374,55.55629272460938
136.7075439453125,62.391717529296876
135.58125,68.62705688476562
130.48942871093752,73.73385620117188
128.68961181640626,80.58409423828125
132.06268310546875,86.86845703125
136.62818603515626,91.96134033203126
136.77812500000002,99.2079345703125
134.73576660156252,105.88887939453126
133.57182617187502,112.94708251953125
135.6954345703125,119.48675537109375
134.61953125,126.65175781250001
134.40067138671876,133.8895263671875
135.9802978515625,140.9123779296875
140.19383544921877,145.9573974609375
144.26469726562502,151.27880859375
148.2923095703125,156.90701904296876
153.88118896484374,161.087158203125
151.8372314453125,166.676611328125
149.67529296875,173.58792724609376
148.53017578125,180.73891601562502
148.40169677734374,187.98002929687502
149.2690673828125,195.1705322265625
149.7760009765625,202.37066650390625
150.2932373046875,209.598974609375
151.341064453125,216.7689208984375
153.07145996093752,223.80351562500002
155.78096923828127,230.51579589843752
159.98366699218752,236.38542480468752
166.117431640625,240.10820312500002
164.86075439453126,246.20585937500002
160.58670654296876,251.79226074218752
155.6354736328125,257.081591796875
151.1507568359375,262.7736328125
147.05833740234377,268.75449218750003
143.3152099609375,274.9603515625
139.89051513671876,281.3475830078125
136.64713134765626,287.8284423828125
133.06239013671876,294.1273681640625
129.11986083984377,300.20737304687503
124.38409423828125,305.668359375
119.12161865234376,310.5946044921875
115.68739013671876,316.9381103515625
114.82674560546876,324.0855224609375
115.14937744140626,331.1343017578125
113.48304443359376,338.1875
112.28165283203126,345.3331298828125
112.20018310546875,352.55703125
115.7509033203125,358.31633300781255
120.62457275390625,363.44133300781255
127.56748046875,362.4395263671875
133.788330078125,358.74838867187503
139.89908447265626,354.9766357421875
144.0178955078125,349.0339599609375
145.7549560546875,342.583984375
151.92120361328125,346.070703125
157.91630859375002,342.61826171875003
158.92257080078127,335.74174804687505
159.57537841796875,328.7177978515625
163.030859375,322.6304931640625
164.97075195312502,329.2267578125
167.27821044921876,336.09169921875
170.60694580078126,342.52021484375
175.12944335937502,348.16484375000005
180.9119384765625,352.496337890625
179.01708984375,358.4505859375
175.65117187500002,364.869873046875
172.2908935546875,371.2920654296875
168.93497314453126,377.71650390625
165.58815917968752,384.14572753906253
162.25086669921876,390.5799560546875
158.92652587890626,397.0207763671875
155.6270751953125,403.474365234375
